pred_H_params,surrogate_H_params,target_H_params,sigma_for_gauss,simulation_time,Sample
"{'qubit_frequency_GHz': 4.145498685496797, 'anharmonicity_MHz': -153.27987602733197}","{'qubit_frequency_GHz': 4.06438, 'anharmonicity_MHz': -146.654}","{'qubit_frequency_GHz': 4.10313, 'anharmonicity_MHz': -149.894}",10.0,206.53602160001174,39
"{'qubit_frequency_GHz': 2.9759925833207372, 'anharmonicity_MHz': -75.33554651502783}","{'qubit_frequency_GHz': 2.82152, 'anharmonicity_MHz': -61.6151}","{'qubit_frequency_GHz': 3.54363, 'anharmonicity_MHz': -109.248}",20.0,307.5443206001073,40
"{'qubit_frequency_GHz': 3.261996012790579, 'anharmonicity_MHz': -91.53392881916389}","{'qubit_frequency_GHz': 3.22828, 'anharmonicity_MHz': -89.3765}","{'qubit_frequency_GHz': 3.54363, 'anharmonicity_MHz': -109.248}",20.0,124.42600989993662,41
"{'qubit_frequency_GHz': 4.704445082104947, 'anharmonicity_MHz': -202.2319408763238}","{'qubit_frequency_GHz': 4.90732, 'anharmonicity_MHz': -225.89}","{'qubit_frequency_GHz': 3.95949, 'anharmonicity_MHz': -138.744}",20.0,92.88457090011798,42
"{'qubit_frequency_GHz': 3.1395283633496724, 'anharmonicity_MHz': -84.38069181608299}","{'qubit_frequency_GHz': 3.06241, 'anharmonicity_MHz': -78.3687}","{'qubit_frequency_GHz': 3.59422, 'anharmonicity_MHz': -112.62}",20.0,363.8937386998441,43
"{'qubit_frequency_GHz': 4.243018102074119, 'anharmonicity_MHz': -161.242813053585}","{'qubit_frequency_GHz': 4.10145, 'anharmonicity_MHz': -150.111}","{'qubit_frequency_GHz': 3.5967, 'anharmonicity_MHz': -112.787}",20.0,99.08178399992175,44
"{'qubit_frequency_GHz': 4.421743214933667, 'anharmonicity_MHz': -176.46166523724992}","{'qubit_frequency_GHz': 4.30296, 'anharmonicity_MHz': -167.183}","{'qubit_frequency_GHz': 5.44074, 'anharmonicity_MHz': -279.744}",20.0,100.93554469989613,45
"{'qubit_frequency_GHz': 3.9926845217669378, 'anharmonicity_MHz': -141.27630948112113}","{'qubit_frequency_GHz': 3.92557, 'anharmonicity_MHz': -135.717}","{'qubit_frequency_GHz': 4.03405, 'anharmonicity_MHz': -144.469}",20.0,116.58888270007446,46
"{'qubit_frequency_GHz': 14.948203250567403, 'anharmonicity_MHz': -6817.692888531418}","{'qubit_frequency_GHz': 10.3716, 'anharmonicity_MHz': -1005.53}","{'qubit_frequency_GHz': 6.35263, 'anharmonicity_MHz': -399.198}",20.0,98.46388739999384,47
"{'qubit_frequency_GHz': 12.84027768942699, 'anharmonicity_MHz': -4090.513273358079}","{'qubit_frequency_GHz': 3.43964, 'anharmonicity_MHz': -102.436}","{'qubit_frequency_GHz': 3.40268, 'anharmonicity_MHz': -100.16}",20.0,274.5406578001566,48
"{'qubit_frequency_GHz': 3.300397466399465, 'anharmonicity_MHz': -93.84480567092268}","{'qubit_frequency_GHz': 3.34888, 'anharmonicity_MHz': -97.9815}","{'qubit_frequency_GHz': 3.5967, 'anharmonicity_MHz': -112.787}",20.0,126.0924172999803,49
