Sample,pred_H_params,ref_H_params,simulation_time
52,"{'qubit_frequency_GHz': 4.953466668601578, 'anharmonicity_MHz': -226.71828234543057}","{'qubit_frequency_GHz': 4.9586987, 'anharmonicity_MHz': -227.2512}",102.28187540010549
53,"{'qubit_frequency_GHz': 3.5829560093066917, 'anharmonicity_MHz': -111.86419148695315}","{'qubit_frequency_GHz': 3.5331779, 'anharmonicity_MHz': -108.558365}",103.21603009989485
54,"{'qubit_frequency_GHz': 3.6498003662105027, 'anharmonicity_MHz': -116.3931442779571}","{'qubit_frequency_GHz': 3.5963168, 'anharmonicity_MHz': -112.76118}",95.9694562999066
56,"{'qubit_frequency_GHz': 3.8076009682266267, 'anharmonicity_MHz': -127.49791391527587}","{'qubit_frequency_GHz': 3.7617717, 'anharmonicity_MHz': -124.212524}",100.37119839992374
57,"{'qubit_frequency_GHz': 3.804157959130677, 'anharmonicity_MHz': -127.24936495592587}","{'qubit_frequency_GHz': 3.7599084, 'anharmonicity_MHz': -124.07999}",99.16089019994251
58,"{'qubit_frequency_GHz': 4.689491916540298, 'anharmonicity_MHz': -200.8155774180942}","{'qubit_frequency_GHz': 4.702796, 'anharmonicity_MHz': -202.07544}",83.04529069992714
59,"{'qubit_frequency_GHz': 3.3479862264164986, 'anharmonicity_MHz': -96.75391588699611}","{'qubit_frequency_GHz': 3.2638903, 'anharmonicity_MHz': -91.647156}",100.96736080013216
60,"{'qubit_frequency_GHz': 3.5447411808462235, 'anharmonicity_MHz': -109.321241173717}","{'qubit_frequency_GHz': 3.4968708, 'anharmonicity_MHz': -106.182915}",121.43737079994753
61,"{'qubit_frequency_GHz': 3.8081792802095578, 'anharmonicity_MHz': -127.53968952140227}","{'qubit_frequency_GHz': 3.76251, 'anharmonicity_MHz': -124.265045}",101.91850869986229
62,"{'qubit_frequency_GHz': 3.592745912416948, 'anharmonicity_MHz': -112.52104596517398}","{'qubit_frequency_GHz': 3.5423052, 'anharmonicity_MHz': -109.16028}",101.44336409983225
63,"{'qubit_frequency_GHz': 3.8034882236657914, 'anharmonicity_MHz': -127.20104977238655}","{'qubit_frequency_GHz': 3.7591026, 'anharmonicity_MHz': -124.0227}",101.00385309988633
64,"{'qubit_frequency_GHz': 3.7568958815938736, 'anharmonicity_MHz': -123.86589256779956}","{'qubit_frequency_GHz': 3.7026327, 'anharmonicity_MHz': -120.04609}",99.23399519990198
65,"{'qubit_frequency_GHz': 3.4591579012432625, 'anharmonicity_MHz': -103.7472360437981}","{'qubit_frequency_GHz': 3.4017315, 'anharmonicity_MHz': -100.10011}",119.57712520007044
66,"{'qubit_frequency_GHz': 3.8065407654859875, 'anharmonicity_MHz': -127.4213484992277}","{'qubit_frequency_GHz': 3.7604916, 'anharmonicity_MHz': -124.12147}",101.73696690006182
67,"{'qubit_frequency_GHz': 3.4597621299993726, 'anharmonicity_MHz': -103.78600596821563}","{'qubit_frequency_GHz': 3.4024673, 'anharmonicity_MHz': -100.146385}",120.72617530007847
68,"{'qubit_frequency_GHz': 5.518991364486133, 'anharmonicity_MHz': -288.9214223790262}","{'qubit_frequency_GHz': 5.5269513, 'anharmonicity_MHz': -289.86548}",90.4222008001525
69,"{'qubit_frequency_GHz': 3.5834625541973715, 'anharmonicity_MHz': -111.89812404283828}","{'qubit_frequency_GHz': 3.533679, 'anharmonicity_MHz': -108.591385}",96.84618630004115
70,"{'qubit_frequency_GHz': 14.805761561179029, 'anharmonicity_MHz': -6626.145565987345}","{'qubit_frequency_GHz': 5.944764, 'anharmonicity_MHz': -342.2702}",138.88955209986307
71,"{'qubit_frequency_GHz': 5.265256605762982, 'anharmonicity_MHz': -259.84356824293366}","{'qubit_frequency_GHz': 5.2561665, 'anharmonicity_MHz': -258.8378}",94.20376090006903
72,"{'qubit_frequency_GHz': 3.593255246232971, 'anharmonicity_MHz': -112.55528016692118}","{'qubit_frequency_GHz': 3.5427594, 'anharmonicity_MHz': -109.19028}",100.62523599993438
73,"{'qubit_frequency_GHz': 4.110464117208341, 'anharmonicity_MHz': -150.4770517204861}","{'qubit_frequency_GHz': 4.114267, 'anharmonicity_MHz': -150.7798}",101.62541500013322
74,"{'qubit_frequency_GHz': 4.6527987851690185, 'anharmonicity_MHz': -197.36551909945277}","{'qubit_frequency_GHz': 4.6651783, 'anharmonicity_MHz': -198.52548}",89.43788879993372
75,"{'qubit_frequency_GHz': 3.544466324048109, 'anharmonicity_MHz': -109.30307251358151}","{'qubit_frequency_GHz': 3.4966621, 'anharmonicity_MHz': -106.16935}",128.79545459989458
76,"{'qubit_frequency_GHz': 4.653004487487429, 'anharmonicity_MHz': -197.3847594007285}","{'qubit_frequency_GHz': 4.6654196, 'anharmonicity_MHz': -198.54811}",88.49450389994308
77,"{'qubit_frequency_GHz': 4.040394812704815, 'anharmonicity_MHz': -144.96235905375875}","{'qubit_frequency_GHz': 4.0345592, 'anharmonicity_MHz': -144.50853}",116.82178220013157
78,"{'qubit_frequency_GHz': 3.345765452835799, 'anharmonicity_MHz': -96.61703843837088}","{'qubit_frequency_GHz': 3.2611074, 'anharmonicity_MHz': -91.48084}",102.66686689993367
79,"{'qubit_frequency_GHz': 3.8590225145722634, 'anharmonicity_MHz': -131.24354082628287}","{'qubit_frequency_GHz': 3.8259509, 'anharmonicity_MHz': -128.82733}",115.62476760009304
