sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled
25,top_to_bottom,29.9088,30.236,0.327286,0.107116
25,top_to_ground,33.7772,33.332,0.445129,0.19814
25,bottom_to_bottom,100.995,102.879,1.88436,3.55081
25,bottom_to_ground,70.0118,72.9137,2.90192,8.42115
25,ground_to_ground,140.809,139.33,1.4791,2.18773
26,top_to_top,17.1945,18.7363,1.54182,2.3772
26,top_to_bottom,2.30923,3.17011,0.860881,0.741117
26,top_to_ground,14.6649,15.0853,0.420458,0.176785
26,bottom_to_bottom,20.3912,21.9957,1.60455,2.57457
26,bottom_to_ground,17.8051,18.6073,0.802228,0.64357
26,ground_to_ground,64.2976,65.2854,0.987768,0.975685
27,top_to_top,32.8101,33.1919,0.381836,0.145799
27,top_to_bottom,11.7267,11.6343,0.0924383,0.00854484
27,top_to_ground,20.7841,21.1191,0.334997,0.112223
27,bottom_to_bottom,49.0433,49.0037,0.0395683,0.00156565
27,bottom_to_ground,36.8726,36.8694,0.00319709,1.02214e-05
27,ground_to_ground,91.7998,92.09,0.290193,0.0842122
28,top_to_top,21.9063,21.774,0.132304,0.0175044
28,top_to_bottom,6.82474,4.97362,1.85112,3.42665
28,top_to_ground,14.8318,16.348,1.51622,2.29893
28,bottom_to_bottom,26.9862,25.7791,1.20716,1.45723
28,bottom_to_ground,19.8438,20.3981,0.554313,0.307263
28,ground_to_ground,66.814,68.819,2.00492,4.01972
29,top_to_top,24.1235,23.3601,0.763342,0.582691
29,top_to_bottom,4.91634,5.05239,0.13605,0.0185096
29,top_to_ground,18.9751,17.6499,1.32522,1.75622
29,bottom_to_bottom,27.6277,28.8343,1.20665,1.45601
29,bottom_to_ground,22.3706,23.7516,1.38098,1.90711
29,ground_to_ground,73.4826,73.8719,0.389285,0.151543
30,top_to_top,16.4338,17.5852,1.15141,1.32573
30,top_to_bottom,0.47735,2.39017,1.91282,3.65889
30,top_to_ground,15.7752,14.6845,1.09073,1.18969
30,bottom_to_bottom,13.5808,17.9694,4.38853,19.2592
30,bottom_to_ground,12.9177,15.8682,2.95047,8.70524
30,ground_to_ground,60.0719,61.9911,1.91914,3.68309
31,top_to_top,61.7708,57.6148,4.15607,17.2729
31,top_to_bottom,26.628,26.7773,0.149355,0.0223068
31,top_to_ground,34.5667,32.359,2.20763,4.87364
31,bottom_to_bottom,88.7331,90.105,1.37189,1.88208
31,bottom_to_ground,61.1453,63.874,2.72871,7.44588
31,ground_to_ground,132.19,129.398,2.79233,7.79709
32,top_to_top,45.9791,45.3325,0.646523,0.417992
32,top_to_bottom,21.6024,21.4928,0.109609,0.0120141
32,top_to_ground,23.9678,23.5191,0.448698,0.20133
32,bottom_to_bottom,67.2098,67.1364,0.0733617,0.00538194
32,bottom_to_ground,44.9641,44.8396,0.124509,0.0155026
32,ground_to_ground,103.694,103.124,0.569214,0.324004
33,top_to_top,28.1302,27.0185,1.11173,1.23594
33,top_to_bottom,10.4491,8.22062,2.22844,4.96592
33,top_to_ground,17.4124,18.2899,0.87749,0.769988
33,bottom_to_bottom,35.9898,34.2185,1.77132,3.13758
33,bottom_to_ground,25.2193,25.7954,0.576126,0.331922
33,ground_to_ground,75.1822,76.8734,1.69118,2.8601
34,top_to_top,25.1005,25.8173,0.716844,0.513865
34,top_to_bottom,6.18873,6.64073,0.452,0.204304
34,top_to_ground,18.5867,18.75,0.16333,0.0266766
34,bottom_to_bottom,38.6161,38.2113,0.404823,0.163882
34,bottom_to_ground,31.9606,31.032,0.928595,0.862289
34,ground_to_ground,84.2977,83.044,1.25372,1.57182
35,top_to_top,53.4483,52.6443,0.804054,0.646503
35,top_to_bottom,23.3604,23.3962,0.035844,0.0012848
35,top_to_ground,29.5804,29.9449,0.364469,0.132837
35,bottom_to_bottom,82.5142,83.3952,0.881053,0.776254
35,bottom_to_ground,58.291,59.8313,1.54028,2.37246
35,ground_to_ground,123.896,123.689,0.20724,0.0429485
36,top_to_top,69.3589,67.9109,1.44797,2.09661
36,top_to_bottom,37.6919,38.3279,0.635984,0.404475
36,top_to_ground,31.4614,31.3302,0.131162,0.0172034
36,bottom_to_bottom,89.044,98.0551,9.01105,81.1991
36,bottom_to_ground,50.7002,59.7004,9.00019,81.0035
36,ground_to_ground,118.03,124.273,6.24289,38.9737
37,top_to_top,53.4272,53.7223,0.295069,0.0870655
37,top_to_bottom,19.8735,20.9213,1.04788,1.09805
37,top_to_ground,33.0531,34.1442,1.09101,1.19031
37,bottom_to_bottom,97.1459,101.608,4.46168,19.9066
37,bottom_to_ground,76.434,80.8002,4.3662,19.0637
37,ground_to_ground,147.311,149.619,2.30767,5.32535
38,top_to_top,19.1213,18.3969,0.724365,0.524705
38,top_to_bottom,0.83343,1.97201,1.13858,1.29636
38,top_to_ground,18.0524,15.8076,2.2448,5.03914
38,bottom_to_bottom,14.687,18.0745,3.38748,11.475
38,bottom_to_ground,13.6421,16.721,3.07891,9.47966
38,ground_to_ground,62.8742,64.161,1.28679,1.65582
39,top_to_top,59.6406,57.0743,2.56624,6.58561
39,top_to_bottom,32.9793,31.6905,1.28871,1.66078
39,top_to_ground,26.1978,25.9273,0.270561,0.073203
39,bottom_to_bottom,83.0738,86.0182,2.94432,8.66904
39,bottom_to_ground,49.5328,53.7094,4.17658,17.4438
39,ground_to_ground,111.454,114.015,2.56024,6.55481
40,top_to_top,54.6975,54.7427,0.0451705,0.00204038
40,top_to_bottom,25.5824,26.0737,0.491376,0.241451
40,top_to_ground,28.6186,29.6157,0.997144,0.994296
