sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled,ansys_unscaled
7,claw_to_ground,55.8669,56.827,0.960111,0.921813,54.85726
7,cross_to_claw,2.25358,2.1681,0.085477,0.00730632,2.06547
7,cross_to_cross,176.386,176.186,0.200396,0.0401585,176.56514
7,claw_to_claw,58.3954,59.3556,0.96019,0.921965,57.14252
7,ground_to_ground,296.769,295.174,1.59491,2.54373,290.86684
8,cross_to_ground,178.103,178.451,0.348001,0.121105,173.65772
8,claw_to_ground,125.682,125.468,0.21389,0.0457487,121.65748
8,cross_to_claw,6.34363,6.63612,0.292494,0.0855525,6.29339
8,cross_to_cross,178.103,178.409,0.305841,0.0935386,182.46323
8,claw_to_claw,132.532,132.539,0.00630051,3.96965e-05,128.48115
8,ground_to_ground,369.472,367.906,1.56626,2.45318,359.95174
9,cross_to_ground,131.41,131.235,0.175306,0.0307321,127.36975
9,claw_to_ground,79.5949,79.2803,0.314587,0.0989647,76.65197
9,cross_to_claw,3.06183,3.2107,0.148873,0.0221632,3.05697
9,cross_to_cross,131.41,131.243,0.166486,0.0277176,132.67339
9,claw_to_claw,83.0172,82.9378,0.0793725,0.00629999,80.09291
9,ground_to_ground,267.491,265.412,2.07914,4.32283,260.49778
10,cross_to_ground,154.214,155.919,1.70478,2.90628,150.57488
10,claw_to_ground,62.0671,61.9223,0.144756,0.0209544,60.02151
10,cross_to_claw,2.51902,2.47587,0.0431465,0.00186162,2.36928
10,cross_to_cross,154.214,155.889,1.67495,2.80546,155.25712
10,claw_to_claw,64.8862,64.777,0.109215,0.011928,62.63541
10,ground_to_ground,276.495,276.468,0.0277402,0.000769518,271.2997
11,cross_to_ground,133.903,133.934,0.031008,0.000961494,129.77157
11,claw_to_ground,93.2771,93.2729,0.00421996,1.78081e-05,89.91997
11,cross_to_claw,5.60533,5.54037,0.0649624,0.00422011,5.33404
11,cross_to_cross,133.903,133.904,0.00154325,2.38163e-06,137.35024
11,claw_to_claw,99.2952,99.2715,0.0236933,0.00056137,95.68028
11,ground_to_ground,284.79,282.829,1.9612,3.84631,277.09021
12,cross_to_ground,142.212,142.185,0.0273181,0.00074628,140.90187
12,claw_to_ground,69.2563,69.4649,0.208509,0.043476,68.6473
12,cross_to_claw,3.54021,3.48353,0.0566752,0.00321208,3.35936
12,cross_to_cross,142.212,142.183,0.0291187,0.000847897,146.50973
12,claw_to_claw,73.1351,73.3325,0.197349,0.0389466,72.32362
12,ground_to_ground,270.702,268.588,2.11462,4.47163,268.29746
13,cross_to_ground,214.105,212.955,1.14954,1.32144,206.38357
13,claw_to_ground,115.969,115.188,0.781201,0.610275,111.15933
13,cross_to_claw,5.31174,5.52359,0.211848,0.0448794,5.22233
13,cross_to_cross,214.105,213.018,1.08673,1.18099,214.03725
13,claw_to_claw,121.717,121.03,0.687342,0.472438,116.77279
13,ground_to_ground,399.959,397.629,2.32995,5.42867,387.97955
14,cross_to_ground,67.2241,67.0397,0.184429,0.0340141,65.86836
14,claw_to_ground,55.4983,56.615,1.11672,1.24707,54.90391
14,cross_to_claw,2.50404,2.48228,0.0217574,0.000473383,2.37927
14,cross_to_cross,67.2241,67.0655,0.158619,0.0251599,69.88989
14,claw_to_claw,58.39,59.5938,1.20379,1.4491,57.64365
14,ground_to_ground,168.461,166.682,1.77853,3.16317,166.36447
15,cross_to_ground,218.767,217.925,0.842237,0.709364,208.55699
15,claw_to_ground,154.485,154.242,0.243487,0.0592857,148.46017
15,cross_to_claw,12.4785,12.5057,0.0272182,0.000740829,11.65599
15,cross_to_cross,218.767,217.843,0.924223,0.854188,222.92656
15,claw_to_claw,167.522,167.042,0.48065,0.231025,160.67921
15,ground_to_ground,444.859,442.936,1.92292,3.69761,427.96144
16,cross_to_ground,40.867,44.4159,3.54894,12.5949,46.09768
16,claw_to_ground,55.0005,54.3581,0.642418,0.412701,54.16607
16,cross_to_claw,2.94925,2.69979,0.249459,0.0622296,2.62992
16,cross_to_cross,40.867,44.4362,3.56925,12.7395,50.21058
16,claw_to_claw,58.4218,57.6157,0.806181,0.649927,57.2167
16,ground_to_ground,136.443,137.798,1.35484,1.8356,141.67161
17,cross_to_ground,67.7372,67.6968,0.040375,0.00163014,66.21482
17,claw_to_ground,62.5663,62.3756,0.190685,0.0363607,59.45703
17,cross_to_claw,2.06963,2.10437,0.034738,0.00120673,2.06178
17,cross_to_cross,67.7372,67.7093,0.027901,0.000778464,69.94638
17,claw_to_claw,65.0425,65.0264,0.0160823,0.00025864,61.91485
17,ground_to_ground,176.414,173.554,2.8601,8.1802,171.8253
18,cross_to_ground,215.482,215.444,0.0371788,0.00138226,205.99971
18,claw_to_ground,130.523,130.812,0.289244,0.083662,125.13992
18,cross_to_claw,9.69242,9.75529,0.0628662,0.00395216,9.1012
18,cross_to_cross,215.482,215.456,0.0260094,0.000676487,217.85649
18,claw_to_claw,140.712,140.86,0.147953,0.0218901,134.74516
18,ground_to_ground,416.75,416.242,0.507744,0.257803,401.46121
19,cross_to_ground,128.469,128.483,0.0139012,0.000193243,127.00133
19,claw_to_ground,92.2553,92.3738,0.118416,0.0140224,91.17263
19,cross_to_claw,6.12405,6.06485,0.0591997,0.0035046,5.85643
19,cross_to_cross,128.469,128.459,0.0105129,0.00011052,135.06303
19,claw_to_claw,98.811,98.881,0.0699796,0.00489714,97.38621
19,ground_to_ground,278.1,275.926,2.17388,4.72574,275.14999
20,cross_to_ground,209.096,209.429,0.333157,0.110994,201.06806
20,claw_to_ground,140.917,141.354,0.437011,0.190979,135.83002
20,cross_to_claw,10.9389,11.0271,0.0882535,0.00778867,10.3535
20,cross_to_cross,209.096,209.476,0.380582,0.144842,213.92869
20,claw_to_claw,152.371,152.672,0.301265,0.0907606,146.70027
20,ground_to_ground,420.254,420.231,0.0235176,0.000553079,406.95145
21,cross_to_ground,80.3741,80.3361,0.0380152,0.00144515,78.64119
21,claw_to_ground,75.0562,74.7576,0.298584,0.0891524,72.22603
21,cross_to_claw,3.05308,3.07606,0.022982,0.000528171,2.92166
21,cross_to_cross,80.3741,80.3375,0.0365503,0.00133593,83.4072
21,claw_to_claw,78.5769,78.3563,0.220658,0.0486899,75.59988
21,ground_to_ground,203.344,201.104,2.24013,5.01818,198.64689
22,cross_to_ground,171.522,171.856,0.333812,0.111431,166.32056
22,claw_to_ground,121.417,121.563,0.146116,0.0213497,117.48225
22,cross_to_claw,8.33617,8.34378,0.00761338,5.79635e-05,7.84037
22,cross_to_cross,171.522,171.812,0.290309,0.0842796,176.57122
22,claw_to_claw,130.221,130.344,0.122898,0.0151039,125.78434
22,ground_to_ground,356.802,356.153,0.649251,0.421526,347.54766
23,cross_to_ground,186.085,186.822,0.737487,0.543887,180.47505
23,claw_to_ground,108.08,108.138,0.0580749,0.0033727,104.50844
23,cross_to_claw,5.10324,5.25908,0.155843,0.0242871,5.01407
23,cross_to_cross,186.085,186.819,0.734191,0.539037,187.98747
23,claw_to_claw,113.609,113.749,0.140386,0.0197082,109.94891
23,ground_to_ground,360.091,359.82,0.27089,0.0733814,350.81785
24,cross_to_ground,89.5432,90.1686,0.62544,0.391175,88.00439
24,claw_to_ground,82.3353,82.6048,0.269462,0.0726095,79.85127
24,cross_to_claw,4.93333,4.95064,0.0173145,0.000299792,4.68863
24,cross_to_cross,89.5432,90.1367,0.593564,0.352318,94.6639
24,claw_to_claw,87.7731,88.1299,0.35676,0.127278,85.05187
24,ground_to_ground,221.72,220.643,1.07752,1.16106,217.64432
25,cross_to_ground,205.653,205.963,0.310497,0.0964083,198.60429
25,claw_to_ground,116.693,116.88,0.186947,0.0349492,112.81976
25,cross_to_claw,8.21753,8.22407,0.00653673,4.27289e-05,7.72838
25,cross_to_cross,205.653,205.985,0.332515,0.110566,208.86921
25,claw_to_claw,125.377,125.442,0.064533,0.00416451,121.0121
25,ground_to_ground,391.739,391.178,0.56049,0.314149,380.5881
26,cross_to_ground,183.373,183.347,0.02609,0.000680686,180.41
26,claw_to_ground,102.937,103.318,0.38032,0.144643,101.56134
26,cross_to_claw,6.93234,6.82413,0.108209,0.0117091,6.58596
26,cross_to_cross,183.373,183.324,0.049619,0.00246205,189.50093
26,claw_to_claw,110.297,110.519,0.222032,0.0492981,108.59046
26,ground_to_ground,352.766,351.264,1.50228,2.25683,347.87961
27,cross_to_ground,136.201,137.381,1.18009,1.39262,132.93849
27,claw_to_ground,120.437,121.411,0.973966,0.94861,117.16701
27,cross_to_claw,9.17838,9.37226,0.19388,0.0375895,8.8711
27,cross_to_cross,136.201,137.353,1.15164,1.32627,144.06852
27,claw_to_claw,130.191,131.212,1.02033,1.04106,126.61597
27,ground_to_ground,314.959,315.698,0.738132,0.544839,308.30806
28,cross_to_ground,143.809,143.952,0.142307,0.0202513,139.10794
28,claw_to_ground,125.379,125.134,0.244696,0.0598762,120.62774
28,cross_to_claw,7.12592,7.31445,0.188532,0.0355444,6.97601
28,cross_to_cross,143.809,143.903,0.0933415,0.00871264,148.43215
28,claw_to_claw,133.085,132.93,0.155427,0.0241576,128.18228
28,ground_to_ground,328.24,326.989,1.25087,1.56467,318.71051
29,cross_to_ground,154.562,154.627,0.0647417,0.00419148,149.61709
29,claw_to_ground,73.5911,73.3829,0.208209,0.0433509,70.92435
29,cross_to_claw,2.50326,2.63286,0.1296,0.0167961,2.50851
29,cross_to_cross,154.562,154.577,0.0152269,0.000231858,154.42577
29,claw_to_claw,76.446,76.4261,0.0198607,0.000394447,73.7314
29,ground_to_ground,289.127,286.816,2.31125,5.34186,281.2284
30,cross_to_ground,147.857,147.898,0.0404235,0.00163406,145.68601
30,claw_to_ground,69.3448,69.5396,0.194805,0.0379489,68.2222
30,cross_to_claw,3.53509,3.47299,0.0620976,0.00385611,3.34515
30,cross_to_cross,147.857,147.903,0.0454131,0.00206235,151.41155
30,claw_to_claw,73.2293,73.3824,0.153133,0.0234497,71.91398
30,ground_to_ground,277.127,275.323,1.80368,3.25328,273.53754
31,cross_to_ground,164.919,164.945,0.026022,0.000677144,159.3636
31,claw_to_ground,82.7806,82.5158,0.26487,0.0701561,79.72358
31,cross_to_claw,3.23513,3.32336,0.0882304,0.00778461,3.16646
31,cross_to_cross,164.919,164.923,0.00403407,1.62737e-05,164.94463
31,claw_to_claw,86.3471,86.2284,0.118767,0.0141056,83.22563
31,ground_to_ground,309.838,308.184,1.65486,2.73855,301.0867
32,cross_to_ground,156.198,156.409,0.211461,0.0447159,154.08036
32,claw_to_ground,92.521,93.0949,0.573955,0.329424,91.39308
32,cross_to_claw,5.93444,5.84479,0.0896481,0.00803678,5.61019
32,cross_to_cross,156.198,156.409,0.2114,0.04469,162.10116
32,claw_to_claw,98.8679,99.3355,0.467608,0.218658,97.4876
32,ground_to_ground,310.663,309.305,1.35764,1.84318,306.59861
33,cross_to_ground,56.26,56.1046,0.155469,0.0241707,55.8921
33,claw_to_ground,58.6458,58.7526,0.106832,0.011413,57.25713
33,cross_to_claw,2.98994,2.87002,0.119917,0.0143802,2.75155
33,cross_to_cross,56.26,56.1306,0.1294,0.0167442,60.20194
33,claw_to_claw,62.0852,62.1474,0.062187,0.00386722,60.44374
33,ground_to_ground,158.56,156.004,2.55574,6.53181,156.84114
34,cross_to_ground,164.345,164.609,0.264224,0.0698141,159.02464
34,claw_to_ground,89.9811,89.8404,0.14072,0.0198021,86.7691
34,cross_to_claw,3.77364,3.87389,0.100247,0.0100494,3.69492
34,cross_to_cross,164.345,164.618,0.273425,0.074761,165.14766
34,claw_to_claw,94.1139,94.0962,0.0177291,0.000314321,90.83214
34,ground_to_ground,316.447,315.25,1.19721,1.43331,307.78957
35,cross_to_ground,161.198,161.418,0.220146,0.0484641,159.00591
35,claw_to_ground,99.2928,99.8323,0.539523,0.291085,98.12405
35,cross_to_claw,6.64752,6.55081,0.0967101,0.00935285,6.30726
35,cross_to_cross,161.198,161.406,0.208106,0.0433083,167.71262
35,claw_to_claw,106.419,106.784,0.364546,0.132894,104.87999
35,ground_to_ground,322.876,322.063,0.812822,0.660679,319.38965
36,cross_to_ground,157.365,157.822,0.457262,0.209089,153.20188
36,claw_to_ground,112.046,112.13,0.0844385,0.00712986,108.50098
36,cross_to_claw,5.50703,5.75604,0.249008,0.0620048,5.4249
36,cross_to_cross,157.365,157.8,0.43529,0.189477,161.03374
36,claw_to_claw,118.084,118.316,0.231751,0.0537087,114.50172
36,ground_to_ground,330.323,330.064,0.258936,0.0670477,322.53536
37,cross_to_ground,194.212,194.561,0.349591,0.122214,187.69191
37,claw_to_ground,79.3731,79.1597,0.213394,0.0455369,76.6751
